City, State, Long, Lat, 
    
         187Evansville,IN,-87.550552,37.977222
         188Cambridge,MA,-71.110558,42.373611
         189Richardson,TX,-96.715836,32.965557
         190Berkeley,CA,-122.272781,37.871666
         191Columbia,MO,-92.328636,38.951561
         192Athens,GA,-83.383331,33.950001
         193Lafayette,LA,-92.033333,30.216667
         194Sterling Heights,MI,-83.030281,42.580276
         195Visalia,CA,-119.300003,36.316666
         196Hampton,VA,-76.360123,37.034946
         197West Valley City,UT,-111.993889,40.689167
         198Surprise,AZ,-112.366669,33.630554
         199Thornton,CO,-104.954445,39.903057
         200Miramar,FL,-80.282501,25.978889
         201Murfreesboro,TN,-86.391945,35.846111
         202Pasadena,CA,-118.131943,34.156113
         203Bridgeport,CT,-73.195557,41.18639
         204Paterson,NJ,-74.162827,40.914745
         205Rockford,Il,-89.064445,42.259445
         206Joliet,IL,-88.150558,41.520557
         207Escondido,CA,-117.080833,33.124722
         208Kansas City,KS,-94.676392,39.106667
         209Springfield,MA,-72.590279,42.101391
         210Springfield,MO,-93.297256,37.210388
         211Corona,CA,-117.566666,33.866669
         212Pembroke Pines,FL,-80.313614,26.012501
         213Elk Grove,CA,-121.381943,38.438332
         214Oceanside,CA,-117.325836,33.211666
         215Newport News,VA,-76.484444,37.070831
         216Sioux Falls,SD,-96.731667,43.536388
         217Vancouver,WA,-122.599998,45.633331
         218Worcester,MA,-71.798889,42.271389
         219Tallahassee,FL,-84.253334,30.455
         220Columbus,GA,-84.940277,32.492222
         221Augusta,GA,-81.966667,33.466667
         222Montgomery,AL,-86.279167,32.361668
         223Aurora,IL,-88.290001,41.763889
         224Amarillo,TX,-101.845276,35.199165
         225Modesto,CA,-120.994446,37.661388
         226Garland,TX,-96.635277,32.907223
         227Irvine,CA,-117.823059,33.669445
         228Aurora,CO,-104.8125,39.710835
         229Arlington,TX,-97.12278,32.705002
         230Kansas City,MO,-94.578331,39.099724
         231Memphis,TN,-89.971107,35.1175
         232Indianapolis,IN,-86.148003,39.791
         233Columbus,OH,-82.98333,39.983334
         234Austin,TX,-97.73333,30.266666
         235Dallas,TX,-96.808891,32.779167
         236Redwood City,CA,-122.236115,37.487846
         237Gastonia,CA,-81.180275,35.25528
         238New Braunfels,TX,-98.116669,29.700001
         239Palm Beach Gardens,FL,-80.129967,26.838619
         240Forestville,CA,-122.889992,38.473625
         241Houston,TX,-95.358421,29.749907
         242Muncie,IN,-85.401695,40.191891
         243Palm Springs,CA,-116.545601,33.830517
         244Hot Springs,AR,-93.05722,34.496212
         245Richmond,VA,-77.434769,37.54129
         246Fayetteville,AR,-94.171852,36.082157
         247Yuma,AZ,-114.650398,32.698437
         248Peoria,AZ,-112.237068,33.580944
         249Tempe,AZ,-111.939896,33.427204
         250Diamond Bar,CA,-117.810333,34.028622
         251Auburn,AL,-85.480782,32.609856
         252Hoover,AL,-86.811546,33.405746
         253Decatur,AL,-86.985039,34.603817
         254Bloomington,MN,-93.298279,44.840797
         255Utqiagvik,AK,-156.788605,71.290558
         256Fargo,ND,-96.789803,46.877186
         257Odessa,TX,-102.367645,31.845682
         258Orangeburg,SC,-80.855415,33.493317
         259DeLand,FL,-81.303116,29.028318
         260McAllen,TX,-98.230011,26.203407
         261Foster,RI,-71.758125,41.85371
         262Mannford,OK,-96.354454,36.133411
         263Springfield,OH,-83.806694,39.925751
         264Pasadena,TX,-95.209099,29.691063
         265Lake Worth,FL,-80.068451,26.616756
         266Novi,MI,-83.475494,42.480591
         267Rochester,MN,-92.475395,44.016369
         268London,KY,-84.084122,37.129986
         269Sturgis,SD,-103.509079,44.409706
         270Mt Sterling,KY,-83.943253,38.056469
         271Santa Clarita,CA,-118.542587,34.391663
         272Overland Park,KS,-94.677658,38.984764
         273St Cloud,MN,-94.172852,45.56023
         274Sanford,FL,-81.274948,28.807674
         275Juneau,AK,-134.433304,58.305801
         276Albany,OR,-123.105927,44.636513
         277Santee,CA,-116.973915,32.838383
         278Bay Point,CA,-121.960709,38.033878
         279Longmont,CO,-105.101929,40.167206
         280Issaquah,WA,-122.032616,47.530102
         281Akron,OH,-81.511452,41.081757
         282Hammond,IN,-87.50016,41.58466
         283Youngstown,OH,-80.647247,41.10297
         284Hugo,MN,-92.99334,45.159966
         285Yorba Linda,CA,-117.813255,33.888504
         286Rapid City,SD,-103.231018,44.080544
         287Hillsboro,OR,-122.98983,45.522896
         288Elkhart,IN,-85.976669,41.681992
         289Providence,RI,-71.418884,41.825226
         290Rancho Cucamonga,CA,-117.594429,34.110489
         291Orange,CA,-117.853104,33.787914
         292Madison,WI,-89.40123,43.073051
         293Yonkers,NY,-73.89875,40.93121
         294Indio,CA,-116.215561,33.720577
         295Jersey City,NJ,-74.050552,40.719074
         296Bradenton,FL,-82.574821,27.498928
         297South Burlington,VT,-73.170959,44.466995
         298Long Beach,CA,-118.193741,33.77005
         299Greenville,NC,-77.366356,35.612659
         300Edison,NJ,-74.411674,40.522964
         301Jonesboro,AR,-90.705025,35.835575
         302Turrell,AR,-90.257874,35.379807
         303Racine,WI,-87.784225,42.722702
         304Las Cruces,NM,-106.78772,32.346596
         305Alameda,CA,-122.241638,37.765205
         306Walnut Creek,CA,-122.065186,37.910076
         307Naples,FL,-81.806946,26.177624
         308Temecula,CA,-117.143784,33.487007
         309Bozeman,MT,-111.042931,45.676998
         310Eastlake,OH,-81.450394,41.653934
         311Yakima,WA,-120.505898,46.60207
         312Dunedin,FL,-82.764473,28.018349
         313St Paul,MN,-93.093124,44.949642
         314St. Augustine,FL,-81.312431,29.901243
         315Kent,WA,-122.23484,47.380932
         316Dearborn Heights,MI,-83.273262,42.336983
         317Chester,SC,-81.210251,34.704929
         318Muskegon,MI,-86.235809,43.224194
         319Hesperia,CA,-117.30088,34.426388
         320Oakland,CA,-122.271111,37.804363
         321Lancaster,CA,-118.15416,34.686787
         322Homestead,FL,-80.477554,25.468721
         323Norfolk,VA,-76.285873,36.850769
         324Santa Cruz,CA,-122.030792,36.974117
         325Daly City,CA,-122.470207,37.687923
         326Newport,RI,-71.310196,41.490578
         327Santa Barbara,CA,-119.698189,34.42083
         328Cheektowaga,NY,-78.744576,42.902615
         329Eldorado Springs,CO,-105.281639,39.932117
         330Twin Falls,ID,-114.460503,42.562786
         331Huntington,WV,-82.446732,38.413651
         332Decatur,IL,-88.953148,39.842468
         333Beverly Hills,CA,-118.400352,34.07362
         334Danbury,CT,-73.454079,41.394966
         335Des Moines,wa,-93.598022,41.619549
         336New Haven,CT,-72.927887,41.308273
         337Fairbanks,AK,-147.776749,64.835365
         338Nampa,ho,-116.560822,43.565468
         339New Iberia,LA,-91.818665,30.005417
         340Wilkes-Barre,PA,-75.881241,41.245708
         341Petersburg,VA,-77.401924,37.227928
         342Grand Rapids,MI,-85.670006,42.963795
         343Lexington,KY,-84.50164,38.047989
         344Hamden,CT,-72.904243,41.385826
         345Moscow,ho,-116.999939,46.731705
         346Pine Bluff,AR,-92.019211,34.2244
         347Bellevue,WA,-122.200676,47.610378
         348Lynchburg,VA,-79.146042,37.412762
         349Dover,DE,-75.525681,39.161079
         350Tuba City,AR,-111.240173,36.136906
         351Medford,OR,-122.875595,42.326515
         352Franklin,TN,-86.868889,35.925064
         353Portland,OR,-122.676483,45.523064
         354Philadelphia,PA,-75.165222,39.952583
         355Miami,FL,-80.191788,25.761681
         356Boston,MA,-71.057083,42.361145
         357Phoenix,AZ,-112.074036,33.448376
         358Erie,PA,-80.08506,42.129223
         359Victorville,CA,-117.292763,34.536217
         360Wilmington,DE,-75.539787,39.739071
         361Fontana,CA,-117.435051,34.092232
         362Jacksonville,FL,-81.655647,30.332184
         363Soulsbyville,CA,-120.263802,37.984646
         364Corvallis,OR,-123.262047,44.564568
         365North Pole,AK,-147.349442,64.751114
         366Des Plaines,IL,-87.8834,42.033363
         367Richmond,CA,-122.347748,37.935757
         368Grifton,NC,-77.437462,35.372662
         369Redmond,WA,-122.121513,47.673988
         370San Leandro,CA,-122.15683,37.725685
         371East Point,GA,-84.439369,33.679554
         372Russellville,AL,-87.731789,34.501942
         373Dothan,AL,-85.393356,31.223812
         374Tampa,FL,-82.452606,27.964157
         375Kenosha,WI,-87.822899,42.588081
         376Springfield,OR,-123.023346,44.046204
         377Revere,MA,-71.011993,42.408428
         378New Haven,CT,-72.929916,41.310726
         379Port Orange,FL,-80.995613,29.138315
         380Manhattan,KS,-96.571671,39.183609
         381Jeannette,PA,-79.615318,40.328125
         382Baldwin Park,CA,-117.960899,34.085285
         383El Centro,CA,-115.561516,32.793877
         384Lakewood,CO,-105.081505,39.71085
         385Fall River,MA,-71.149994,41.696629
         386Mt Prospect,IL,-87.937294,42.066418
         387Katy,TX,-95.824394,29.785786
         388Cary,NC,-78.78112,35.791538
         389Toms River,NJ,-74.198456,39.954639
         390Tigard,OR,-122.770454,45.431767
         391Clarksville,TN,-87.353767,36.531364
         392Kent,WA,-122.237381,47.37801
         393North Las Vegas,NV,-115.120216,36.201946
         394Walker,LA,-90.861488,30.487968
         395Canton,OH,-81.378448,40.798946
         396Macon,GA,-83.634705,32.838131
         397Bartlett,TN,-89.87381,35.204441
         398San Bernardino,CA,-117.302399,34.115784
         399Lynn,MA,-70.949493,42.466763
         400Poway,CA,-117.03624,32.96273
         401Coffeyville,KS,-95.620537,37.036064
         402Rio Linda,CA,-121.448563,38.691013
         403LaGrange,GA,-85.03006,33.03788
         404Bellflower,CA,-118.117981,33.88221
         405Westland,MI,-83.399017,42.324268
         406Garden City,MI,-83.330933,42.325569
         407Meridian,ID,-116.393707,43.612343
         408Roswell,GA,-84.361549,34.022003
         409Johns Creek,GA,-84.198578,34.028927
         410New London,CT,-72.10276,41.355423
         411Hanford,US,-119.645912,36.327728
         412Saint Charles,MO,-90.497437,38.788105
         413Carrollton,TX,-96.8899,32.974586
         414Stamford,CT,-73.538734,41.053429
         415Ames,IA,-93.620369,42.034534
         416Inglewood,CA,-118.35537,33.961018
